(United_States_09d4,2.625560895630329E-5)
(Biography,1.8606171570549652E-5)
(2006,1.6448976582000633E-5)
(United_Kingdom_5ad7,1.1746292918743481E-5)
(2005,1.0239565570328082E-5)
(England,9.915902974632974E-6)
(Canada,9.232751048509341E-6)
(India,8.750238489620089E-6)
(2004,7.525491540005245E-6)
(Germany,7.401010784797139E-6)
(Australia,7.077305981279845E-6)
(France,6.9539009025677345E-6)
(Record_label,6.523300937048961E-6)
(Japan,6.2602212834379135E-6)
(Internet_Movie_Database_7ea7,6.19280529814826E-6)
(Music_genre,6.054499546957786E-6)
(2003,5.981878655874103E-6)
(Scientific_classification,5.316466737988356E-6)
(2002,5.206775467281086E-6)
(Geographic_coordinate_system,5.188758608495803E-6)
(2001,5.1695690804187046E-6)
(Italy,4.86777677377037E-6)
(2000,4.5933225322772675E-6)
(Europe,4.559843036015626E-6)
(Football_(soccer),4.4480598944615044E-6)
(Actor,4.377275603251535E-6)
(London,4.372175891242578E-6)
(1999,4.328027740557139E-6)
(Album,4.20430553479749E-6)
(Politician,4.09834750988722E-6)
(Television,4.007053673174168E-6)
(1998,3.890460388714859E-6)
(Animal,3.7261552252676265E-6)
(Record_producer,3.72410095056333E-6)
(Studio_album,3.708195205721525E-6)
(World_War_II_d045,3.644437524731666E-6)
(1997,3.6311580306698282E-6)
(1996,3.4357359175090356E-6)
(Spain,3.398681540365445E-6)
(Russia,3.3821583977442457E-6)
(Film,3.3778749035818206E-6)
(Scotland,3.376885007109938E-6)
(China,3.2906831253820006E-6)
(Writer,3.205330904689338E-6)
(1995,3.187091183986701E-6)(Sweden,3.183994738301408E-6)
(Sweden,3.183994738301408E-6)
(Public_domain,3.1264139420035506E-6)
(1994,3.0492520424145897E-6)
(Norway,3.0360767428115644E-6)
(Poet,3.034061379717593E-6)
(Wiktionary,3.0234095228049656E-6)
(California,2.993915205875106E-6)
(New_Zealand_2311,2.928368568628345E-6)
(1993,2.8981192625905844E-6)
(Personal_name,2.839272035312296E-6)
(1992,2.769014783434857E-6)
(Netherlands,2.759804548796432E-6)
(Binomial_nomenclature,2.7449479622846504E-6)
(1991,2.7110995752459343E-6)
(English_language,2.7071033336485215E-6)
(Corporation,2.6781994530521574E-6)
(New_York_City_1428,2.669032906034328E-6)
(1990,2.6686356365491614E-6)
(Ireland,2.6223850840320896E-6)
(1989,2.510516841467316E-6)
(Iran,2.4684559163211817E-6)
(Company_(law),2.4624755456357934E-6)
(New_York_3da4,2.4624536032814784E-6)
(1980,2.4026720617887516E-6)
(1982,2.3647687981542188E-6)
(1986,2.3582881190988904E-6)
(1985,2.3554376191655243E-6)
(Brazil,2.3452109960150874E-6)
(1983,2.3347468470298436E-6)
(1981,2.3333920830503863E-6)
(1987,2.325706237026904E-6)
(1988,2.320946685186234E-6)
(1984,2.313853664747743E-6)
(Pakistan,2.286428744781424E-6)
(Poland,2.285823723755287E-6)
(Band_(music),2.2672989767187722E-6)
(1979,2.23338573798145E-6)
(Website,2.228972494805E-6)
(School,2.2168264610006207E-6)
(Musician,2.199472152221995E-6)
(USA_f75d,2.155202315097352E-6)
(Rock_music,2.1350263474176472E-6)
(Mexico,2.113667559743003E-6)
(1978,2.0997544822527814E-6)
(Asia,2.0920854674447217E-6)
(Building,2.0723807459823555E-6)
(1974,2.0561330683190635E-6)
(1976,2.0457415084134135E-6)
(1977,2.0415518826003844E-6)
(South_Africa_1287,2.0370967727375362E-6)
(1975,2.019462289509489E-6)
(Greece,1.983537621041382E-6)
(Singer,1.983023490897292E-6)
(Africa,1.975604206891161E-6)
(Plant,1.9751099138983934E-6)
